action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,interstellar,InterStellar,CySEC,CySEC,,https://www.fisg.com/
NORMALIZED_REGULATOR_NAME,interstellar,InterStellar,FSCA,FSCA,,https://www.fisg.com/
NORMALIZED_REGULATOR_NAME,interstellar,InterStellar,FSA Seychelles,FSA Seychelles,,https://www.fisg.com/
NORMALIZED_REGULATOR_NAME,mitrade,Mitrade,ASIC,ASIC,,https://www.mitrade.com
NORMALIZED_REGULATOR_NAME,mitrade,Mitrade,CySEC,CySEC,,https://www.mitrade.com
NORMALIZED_REGULATOR_NAME,mitrade,Mitrade,FSCA,FSCA,,https://www.mitrade.com
NORMALIZED_REGULATOR_NAME,mitrade,Mitrade,FSC Mauritius,FSC Mauritius,,https://www.mitrade.com
NORMALIZED_REGULATOR_NAME,pu-prime,PU Prime,ASIC,ASIC,,https://www.puprime.com/
NORMALIZED_REGULATOR_NAME,pu-prime,PU Prime,FSCA,FSCA,,https://www.puprime.com/
NORMALIZED_REGULATOR_NAME,pu-prime,PU Prime,FSA Seychelles,FSA Seychelles,,https://www.puprime.com/
NORMALIZED_REGULATOR_NAME,pu-prime,PU Prime,FSC Mauritius,FSC Mauritius,,https://www.puprime.com/
NORMALIZED_REGULATOR_NAME,sbcfx,SBCFX,ASIC,ASIC,,https://www.sbcfx.vip
NORMALIZED_REGULATOR_NAME,sbcfx,SBCFX,FSCA,FSCA,,https://www.sbcfx.vip
NORMALIZED_REGULATOR_NAME,sbcfx,SBCFX,FSA Seychelles,FSA Seychelles,,https://www.sbcfx.vip
NORMALIZED_REGULATOR_NAME,startrader,STARTRADER,ASIC,ASIC,,https://www.startrader.com
NORMALIZED_REGULATOR_NAME,startrader,STARTRADER,FSCA,FSCA,,https://www.startrader.com
NORMALIZED_REGULATOR_NAME,startrader,STARTRADER,FSA Seychelles,FSA Seychelles,,https://www.startrader.com
NORMALIZED_REGULATOR_NAME,startrader,STARTRADER,FSC Mauritius,FSC Mauritius,,https://www.startrader.com
NORMALIZED_REGULATOR_NAME,velocity-trade,VELOCITY TRADE,FCA,FCA,,https://velocitytrade.com/
NORMALIZED_REGULATOR_NAME,velocity-trade,VELOCITY TRADE,ASIC,ASIC,,https://velocitytrade.com/
NORMALIZED_REGULATOR_NAME,velocity-trade,VELOCITY TRADE,FSCA,FSCA,,https://velocitytrade.com/
NORMALIZED_REGULATOR_NAME,velocity-trade,VELOCITY TRADE,MAS,MAS,,https://velocitytrade.com/
NORMALIZED_REGULATOR_NAME,velocity-trade,VELOCITY TRADE,CIRO,CIRO,,https://velocitytrade.com/
NORMALIZED_REGULATOR_NAME,xs,XS,CySEC,CySEC,,https://xs.com/
NORMALIZED_REGULATOR_NAME,xs,XS,FSCA,FSCA,,https://xs.com/
NORMALIZED_REGULATOR_NAME,xs,XS,FSA Seychelles,FSA Seychelles,,https://xs.com/
NORMALIZED_REGULATOR_NAME,accm,ACCM,FSCA,FSCA,,https://accmfx.com/
NORMALIZED_REGULATOR_NAME,accm,ACCM,FSA Seychelles,FSA Seychelles,,https://accmfx.com/
NORMALIZED_REGULATOR_NAME,accm,ACCM,ASIC,ASIC,,https://accmfx.com/
NORMALIZED_REGULATOR_NAME,acy-securities,ACY Securities,ASIC,ASIC,,https://acy.com
NORMALIZED_REGULATOR_NAME,acy-securities,ACY Securities,FSCA,FSCA,,https://acy.com
NORMALIZED_REGULATOR_NAME,amana,amana,CySEC,CySEC,,https://amana.app/
NORMALIZED_REGULATOR_NAME,amana,amana,DFSA,DFSA,,https://amana.app/
NORMALIZED_REGULATOR_NAME,aus-global,AUS Global,CySEC,CySEC,,https://www.ausglobaluk.com/
NORMALIZED_REGULATOR_NAME,aus-global,AUS Global,FSCA,FSCA,,https://www.ausglobaluk.com/
NORMALIZED_REGULATOR_NAME,aus-global,AUS Global,FSC Mauritius,FSC Mauritius,,https://www.ausglobaluk.com/
NORMALIZED_REGULATOR_NAME,axpm,AXPM,ASIC,ASIC,,https://axpmprime.com
NORMALIZED_REGULATOR_NAME,axpm,AXPM,FSCA,FSCA,,https://axpmprime.com
NORMALIZED_REGULATOR_NAME,cpt-markets,CPT Markets,FCA,FCA,,https://cptmarkets.com
NORMALIZED_REGULATOR_NAME,cpt-markets,CPT Markets,FSCA,FSCA,,https://cptmarkets.com
NORMALIZED_REGULATOR_NAME,cxm-2,CXM,FCA,FCA,,https://www.cxmtrading.com/en/
NORMALIZED_REGULATOR_NAME,cxm-2,CXM,FSA Seychelles,FSA Seychelles,,https://www.cxmtrading.com/en/
NORMALIZED_REGULATOR_NAME,cxm-2,CXM,FSC Mauritius,FSC Mauritius,,https://www.cxmtrading.com/en/
NORMALIZED_REGULATOR_NAME,gbe-brokers,GBE brokers,CySEC,CySEC,,https://gbebrokers.global/
NORMALIZED_REGULATOR_NAME,gbe-brokers,GBE brokers,FSA Seychelles,FSA Seychelles,,https://gbebrokers.global/
NORMALIZED_REGULATOR_NAME,global-futures-services,GLOBAL FUTURES SERVICES,ASIC,ASIC,,https://gfsfutures.com/
NORMALIZED_REGULATOR_NAME,global-futures-services,GLOBAL FUTURES SERVICES,FSCA,FSCA,,https://gfsfutures.com/
NORMALIZED_REGULATOR_NAME,gtcfx,GTCFX,FCA,FCA,,https://www.gtcfx.com
NORMALIZED_REGULATOR_NAME,gtcfx,GTCFX,ASIC,ASIC,,https://www.gtcfx.com
NORMALIZED_REGULATOR_NAME,gtcfx,GTCFX,FSC Mauritius,FSC Mauritius,,https://www.gtcfx.com
