REGISTER_NAME,AFS_LIC_NUM,AFS_LIC_NAME,AFS_LIC_ABN_ACN,AFS_LIC_START_DT,AFS_LIC_PRE_FSR,AFS_LIC_ADD_LOCAL,AFS_LIC_ADD_STATE,AFS_LIC_ADD_PCODE,AFS_LIC_ADD_COUNTRY,AFS_LIC_CONDITION
"AFS Licence","219723","PRIME SUPER PTY LTD","81067241016","21/06/2002","""Securities dealer"",""000197897""","MELBOURNE","VIC","3000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice for the following classes of financial products:""~""(i) superannuation limited to:""~""(A) the ""Prime Super""; and""~""(b) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) superannuation limited to:""~""(1) the ""Prime Super""; and""~""(c) provide a superannuation trustee service""~""to retail clients."""
"AFS Licence","220242","WOTSO FUND SERVICES LIMITED","39079608825","25/09/2002","""Securities dealer"",""000202698""","NEUTRAL BAY","NSW","2089","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice to wholesale clients, for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(ii) interests in managed investment schemes excluding investor directed portfolio services; and""~""(iii) securities;""~""(b) deal in a financial product to retail and wholesale clients by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) interests in managed investment schemes excluding investor directed portfolio services; and""~""(C) securities;""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(B) derivatives;""~""(C) general insurance products;""~""(D) interests in managed investment schemes excluding investor directed portfolio services; and""~""(E) securities; and""~""(iii) underwriting:""~""(A) interests in managed investment schemes; and""~""(B) an issue of securities; and""~""(c) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity to retail and wholesale clients:""~""(i) schemes which only hold the following types of property:""~""(A) direct real property;""~""(B) financial assets; and""~""(C) mortgages."""
"AFS Licence","220647","BACCUS INVESTMENTS LIMITED","87095832072","09/08/2002","","DOUBLE BAY","NSW","2028","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) interests in managed investment schemes; and""~""(b) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) ""Kremnizer Mortgage Fund"" scheme (ARSN: 101 518 067), a scheme which only holds the following types of property:""~""(A) mortgages;""~""to retail clients."""
"AFS Licence","220705","RUSSELL INVESTMENTS EMPLOYEE BENEFITS PTY LTD","70099865013","28/08/2002","","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) foreign exchange contracts;""~""(iv) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(v) life products limited to:""~""(A) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(vi) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997); and""~""(vii) superannuation; and""~""(b) deal in a financial product by:""~""(i) arranging for another person to issue, apply for, acquire, vary or dispose of a financial product in respect of the following classes of financial products:""~""(A) superannuation;""~""to retail and wholesale clients."""
"AFS Licence","220718","MIRVAC FUNDS MANAGEMENT LIMITED","78067417663","24/12/2002","""Securities dealer"",""000174162""~""Securities dealer"",""000200705""","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products to wholesale clients only:""~""(i) interests in managed investment schemes excluding investor directed portfolio services; and""~""(ii) securities;""~""(b) provide general financial product advice for the following classes of financial products:""~""(i) interests in managed investment schemes excluding investor directed portfolio services; and""~""(ii) securities;""~""(c) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) foreign exchange contracts;""~""(C) interests in managed investment schemes excluding investor directed portfolio services; and""~""(D) securities;""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) foreign exchange contracts;""~""(D) general insurance products;""~""(E) interests in managed investment schemes excluding investor directed portfolio services; and""~""(F) securities; and""~""(iii) underwriting:""~""(A) interests in managed investment schemes; and""~""(B) an issue of securities;""~""(d) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) schemes which only hold the following types of property:""~""(A) direct real property;""~""(B) financial assets; and""~""(C) mortgages; and""~""(e) provide the following custodial or depository services:""~""(i) operate custodial or depository services other than investor directed portfolio services;""~""to retail and wholesale clients."""
"AFS Licence","220897","HOOD SWEENEY SECURITIES PTY LTD","40081455165","10/07/2002","""Securities dealer"",""000217421""","DULWICH","SA","5065","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(iii) life products including:""~""(A) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(B) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(iv) interests in managed investment schemes including:""~""(A) investor directed portfolio services;""~""(v) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(vi) securities;""~""(vii) standard margin lending facility; and""~""(viii superannuation; and""~""(b) deal in a financial product by:""~""(i) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(C) life products including:""~""(1) investment life insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds; and""~""(2) life risk insurance products as well as any products issued by a Registered Life Insurance Company that are backed by one or more of its statutory funds;""~""(D) interests in managed investment schemes including:""~""(1) investor directed portfolio services;""~""(E) retirement savings accounts (""RSA"") products (within the meaning of the Retirement Savings Account Act 1997);""~""(F) securities;""~""(G) standard margin lending facility; and""~""(H) superannuation;""~""to retail and wholesale clients."""
"AFS Licence","221146","CLIME ASSET MANAGEMENT PTY LIMITED","72098420770","11/07/2002","""Futures adviser"",""000192021""~""Securities dealer"",""000217542""","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice to both retail and wholesale clients for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(iv) interests in managed investment schemes including:""~""(A) investor directed portfolio services; and""~""(v) securities;""~""(b) provide general financial product advice to wholesale clients only for the following classes of financial products:""~""(i) foreign exchange contracts; and""~""(ii) interests in managed investment schemes limited to:""~""(A) MDA services; and""~""(c) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product to retail and wholesale clients in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) interests in managed investment schemes excluding investor directed portfolio services; and""~""(C) securities;""~""(ii) issuing, applying for, acquiring, varying or disposing of a financial product to wholesale clients in respect of the following classes of financial products:""~""(A) foreign exchange contracts;""~""(B) interests in managed investment schemes limited to:""~""(1) MDA services; and""~""(iii) applying for, acquiring, varying or disposing of a financial product to retail and wholesale clients on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(D) interests in managed investment schemes including:""~""(1) investor directed portfolio services; and""~""(E) securities; and""~""(iv) applying for, acquiring, varying or disposing of a financial product to wholesale clients on behalf of another person in respect of the following classes of products:""~""(A) foreign exchange contracts; and""~""(d) provide the following custodial or depository services to retail and wholesale clients:""~""(i) operate custodial or depository services other than investor directed portfolio services."""
"AFS Licence","221183","COLUMBUS INVESTMENT SERVICES LTD","69095162931","12/09/2002","","SYDNEY","NSW","2000","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice to retail and wholesale clients for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) foreign exchange contracts;""~""(iv) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(v) interests in managed investment schemes excluding investor directed portfolio services; and""~""(vi) securities; and""~""(b) provide financial product advice to wholesale clients for the following classes of financial products:""~""(i) deposit and payment products limited to:""~""(A) basic deposit products;""~""(B) deposit products other than basic deposit products;""~""(ii) derivatives;""~""(iii) foreign exchange contracts;""~""(iv) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(v) interests in managed investment schemes excluding investor directed portfolio services; and""~""(vi) securities; and""~""(c) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product to retail and wholesale clients in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) foreign exchange contracts;""~""(C) interests in managed investment schemes excluding investor directed portfolio services; and""~""(D) securities; and""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person to retail and wholesale clients in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) foreign exchange contracts;""~""(D) general insurance products;""~""(E) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(F) interests in managed investment schemes excluding investor directed portfolio services; and""~""(G) securities; and""~""(d) operate the following kinds of registered managed investment schemes to retail and wholesale clients (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) schemes which only hold the following types of property:""~""(A) derivatives;""~""(B) direct real property;""~""(C) financial assets; and""~""(D) mortgages; and""~""(e) provide the following custodial or depository services to retail and wholesale clients:""~""(i) operate custodial or depository services other than investor directed portfolio services."""
"AFS Licence","221184","PACKER & CO LTD","66061804671","01/08/2002","""Securities dealer"",""000068472""","COTTESLOE","WA","6011","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide general financial product advice for the following classes of financial products:""~""(i) interests in managed investment schemes limited to:""~""(A) own managed investment scheme only;""~""(b) deal in a financial product by:""~""(i) issuing, applying for, acquiring, varying or disposing of a financial product in respect of the following classes of financial products:""~""(A) derivatives;""~""(B) foreign exchange contracts; and""~""(C) interests in managed investment schemes limited to:""~""(1) own managed investment scheme only;""~""(ii) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) deposit and payment products limited to:""~""(1) basic deposit products;""~""(2) deposit products other than basic deposit products;""~""(B) derivatives;""~""(C) foreign exchange contracts;""~""(D) debentures, stocks or bonds issued or proposed to be issued by a government;""~""(E) interests in managed investment schemes excluding investor directed portfolio services; and""~""(F) securities; and""~""(iii) underwriting:""~""(A) interests in managed investment schemes; and""~""(B) an issue of securities; and""~""(c) operate the following kinds of registered managed investment schemes (including the holding of any incidental property) in its capacity as responsible entity:""~""(i) ""Packer & Co Investigator Trust"" scheme (ARSN: 088 778 232),""~""(A) a scheme which only holds the following types of property:""~""(1) financial assets;""~""to retail and wholesale clients."""
"AFS Licence","221218","THOMAS INSURANCE BROKERS PTY. LTD.","32007745566","01/07/2002","""General insurance broker"",""000050017""","GOODWOOD","SA","5034","Australia","""This licence authorises the licensee to carry on a financial services business to:""~""(a) provide financial product advice for the following classes of financial products:""~""(i) general insurance products; and""~""(b) deal in a financial product by:""~""(i) applying for, acquiring, varying or disposing of a financial product on behalf of another person in respect of the following classes of products:""~""(A) general insurance products;""~""to retail and wholesale clients."""
