broker_name,reason,review_url,source_category,sales_target,needs_review,last_checked
Absolute Global Markets,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Absolute Global Markets is on the FCA warning list",https://www.fca.org.uk/news/warnings/absolute-global-markets,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
FxGlory,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - CONSOB warned against FxGlory",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
CF Group,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - CF Group is on the FMA warning list",https://www.fma.govt.nz/scams/warnings-and-alerts/cf-group/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Uptos,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Uptos is on the CONSOB warning list",https://www.consob.it/web/consob-and-its-activities/warnings/documenti/english/entutela/cns/2020/enct20200907.htm,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
PaxForex,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Plusoption,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Plusoption is on the FCA warning list",http://www.consob.it/web/consob-and-its-activities/warnings/documenti/english/entutela/cns/2020/enct20200907.htm,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Trade24,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Trade24 is on the FCA, FINMA, and ASIC warning lists",https://www.fca.org.uk/news/warnings/trade24,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Binary Uno,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Binary Uno is on the FCA warning list",https://www.fca.org.uk/news/warnings/uno-media-solutions-binary-uno,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
CloseOption,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - CloseOption is on the CFTC RED list",https://www.cftc.gov/PressRoom/PressReleases/8555-22,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Trade12,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Trade12 is on the FCA warning list",https://www.fca.org.uk/news/warnings/global-fin-services-trade-12,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
10 Markets.com,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - 10 Markets.com is on the FCA warning list",https://www.fca.org.uk/news/warnings/10-marketscom,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Maxitrade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Maxitrade is on the FMA warning list",https://www.fma.gv.at/en/maxitrade-day-dream-investments/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Markets Swiss,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Maxitrade is on the FINMA warning list",https://www.finma.ch/en/finma-public/warning-list/markets-swiss/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
GSI Markets,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - GSI Markets is on the FCA, FMA, and ASIC warning lists",https://www.fca.org.uk/news/warnings/gsi-markets,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
TitanTrade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - TitanTrade is on the DFSA and FMA",https://www.dfsa.dk/Supervision/Warnings-against-companies/2017/Warning-against-Titan-Trade,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Cash FX Group,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Cash FX Group is on the FCA warning list",https://www.fca.org.uk/news/warnings/cash-fx-group,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
GCG Asia,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - GCG Asia is on the FINMA warning list",https://www.finma.ch/en/finma-public/warning-list/markets-swiss/,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Turnkey Forex,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
TorOption,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - TorOption is on the FCA warning list",https://www.fca.org.uk/news/warnings/toroption-smart-choice-zone-lp,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Binarymate,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Binarymate is on the CFTC RED list",https://www.cftc.gov/node/220736,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
PWRTrade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - PWRTrade is on the ASIC warning list",https://moneysmart.gov.au/companies-you-should-not-deal-with/pwrtrade-also-known-as-gn-capital-ltd,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Tallinex,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Tallinex is fined by US authorities",https://www.cftc.gov/PressRoom/PressReleases/7757-18,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Europa Trade Capital,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Europa Trade Capital is on the FCA warning list",https://www.fca.org.uk/news/warnings/europa-trade-capital,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Capital Traders,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Capital Traders is on the FCA warning list",https://www.fca.org.uk/news/warnings/capital-traders,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
CIBfx,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - CIBfx is on the FCA warning list",https://www.fca.org.uk/news/warnings/cibfx,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
BinaryTilt,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - BinaryTilt is on the FCA warning list",https://www.fca.org.uk/news/warnings/binary-tilt-chemmi-holdings,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
StoxMarket,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - StoxMarket is on the FCA warning list",https://www.fca.org.uk/news/warnings/marketier-holdings-trading-stox-market,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Top Trade,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Top Trade is on the FCA warning list",https://www.fca.org.uk/news/warnings/top-trade-group,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
BigOption,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - BigOption is on the CFTC RED list",https://www.cftc.gov/node/220716,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
CFD Advanced,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - CFD Advanced is on the FCA warning list",https://www.fca.org.uk/news/warnings/cfd-advanced,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Finpari,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Finpari is on the CFTC RED list",https://www.cftc.gov/node/220851,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
Orbit Global FX,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC",,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
XM Bazaar,"- Not licensed by a top-tier financial authority, like the UK FCA or the Australian ASIC | - Brand use illegally the brand of XM, a regulated broker.",https://brokerchooser.com/broker-reviews/xm-review,NOT_RECOMMENDED,NO,YES,2026-09-01T15:22:18Z
